DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
100 Metres,9.63,Usain BOLT,21 AUG 1986,JAM,"Olympic Stadium, London (GBR)",05 AUG 2012
200 Metres,19.30,Usain BOLT,21 AUG 1986,JAM,"National Stadium, Beijing (CHN)",20 AUG 2008
400 Metres,43.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
800 Metres,1:40.91,David RUDISHA,17 DEC 1988,KEN,"Olympic Stadium, London (GBR)",09 AUG 2012
1500 Metres,3:28.32,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"National Stadium, Tokyo (JPN)",07 AUG 2021
5000 Metres,12:57.82,Kenenisa BEKELE,13 JUN 1982,ETH,"National Stadium, Beijing (CHN)",23 AUG 2008
"10,000 Metres",26:43.14,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Stade de France, Paris (FRA)",02 AUG 2024
110 Metres Hurdles,12.91,Xiang LIU,13 JUL 1983,CHN,"Olympic Stadium, Athina (GRE)",27 AUG 2004
400 Metres Hurdles,45.94,Karsten WARHOLM,28 FEB 1996,NOR,"National Stadium, Tokyo (JPN)",03 AUG 2021
3000 Metres Steeplechase,8:03.28,Conseslus KIPRUTO,08 DEC 1994,KEN,"Estádio Olímpico, Rio de Janeiro (BRA)",17 AUG 2016
High Jump,2.39,Charles AUSTIN,19 DEC 1967,USA,"Olympic Stadium, Atlanta, GA (USA)",28 JUL 1996
Pole Vault,6.03,Thiago BRAZ,16 DEC 1993,BRA,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016
Long Jump,8.90,Bob BEAMON,29 AUG 1946,USA,"Estadio Olímpico, Ciudad de México (MEX)",18 OCT 1968
Triple Jump,18.09,Kenny HARRISON,13 FEB 1965,USA,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996
Shot Put,23.30,Ryan CROUSER,18 DEC 1992,USA,"National Stadium, Tokyo (JPN)",05 AUG 2021
Discus Throw,69.89,Virgilijus ALEKNA,13 FEB 1972,LTU,"Olympic Stadium, Athina (GRE)",23 AUG 2004
Hammer Throw,84.80,Sergey LITVINOV,23 JAN 1958,URS,"Olympic Stadium, Seoul (KOR)",26 SEP 1988
Javelin Throw,90.57,Andreas THORKILDSEN,01 APR 1982,NOR,"National Stadium, Beijing (CHN)",23 AUG 2008
Marathon,2:06:32,Samuel Kamau WANJIRU,10 NOV 1986,KEN,"National Stadium, Beijing (CHN)",24 AUG 2008
20 Kilometres Race Walk,1:18:46,Ding CHEN,05 AUG 1992,CHN,"Olympic Stadium, London (GBR)",04 AUG 2012
50 Kilometres Race Walk,3:36:53,Jared TALLENT,17 OCT 1984,AUS,"Olympic Stadium, London (GBR)",11 AUG 2012
Decathlon,9018,Damian WARNER,04 NOV 1989,CAN,"National Stadium, Tokyo (JPN)",05 AUG 2021
4x100 Metres Relay,36.84,Jamaica,,JAM,"Olympic Stadium, London (GBR)",11 AUG 2012
4x400 Metres Relay,2:55.39,United States,,USA,"National Stadium, Beijing (CHN)",23 AUG 2008
