DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,5.56,Donovan BAILEY,16 DEC 1967,CAN,"Reno, NV (USA) ",09 FEB 1996
60 Metres,6.34,Christian COLEMAN,06 MAR 1996,USA,"Albuquerque, NM (USA) ",18 FEB 2018
100 Metres,9.58,Usain BOLT,21 AUG 1986,JAM,"Olympiastadion, Berlin (GER)",16 AUG 2009
200 Metres,19.19,Usain BOLT,21 AUG 1986,JAM,"Olympiastadion, Berlin (GER)",20 AUG 2009
200 Metres Short Track,19.92,Frank FREDERICKS,02 OCT 1967,NAM,Liévin (FRA) ,18 FEB 1996
400 Metres,43.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
400 Metres Short Track,44.57,Kerron CLEMENT,31 OCT 1985,USA,"Fayetteville, AR (USA) ",12 MAR 2005
800 Metres,1:40.91,David RUDISHA,17 DEC 1988,KEN,"Olympic Stadium, London (GBR)",09 AUG 2012
800 Metres Short Track,1:42.67,Wilson KIPKETER,12 DEC 1972,DEN,"Palais Omnisports de Paris-Bercy, Paris (FRA) ",09 MAR 1997
1000 Metres,2:11.96,Noah NGENY,02 NOV 1978,KEN,Rieti (ITA),05 SEP 1999
1000 Metres Short Track,2:14.20,Ayanleh SOULEIMAN,03 DEC 1992,DJI,"Globe Arena, Stockholm (SWE) ",17 FEB 2016
1500 Metres,3:26.00,Hicham EL GUERROUJ,14 SEP 1974,MAR,"Stadio Olimpico, Roma (ITA)",14 JUL 1998
1500 Metres Short Track,3:30.60,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Arena Stade Couvert, Liévin (FRA) ",17 FEB 2022
Mile,3:43.13,Hicham EL GUERROUJ,14 SEP 1974,MAR,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
Mile Short Track,3:47.01,Yomif KEJELCHA,01 AUG 1997,ETH,"Boston, MA (USA) ",03 MAR 2019
2000 Metres,4:43.13,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023
3000 Metres,7:20.67,Daniel KOMEN,17 MAY 1976,KEN,Rieti (ITA),01 SEP 1996
3000 Metres Short Track,7:23.81,Lamecha GIRMA,26 NOV 2000,ETH,"Arena Stade Couvert, Liévin (FRA) ",15 FEB 2023
5000 Metres,12:35.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Stade Louis II, Monaco (MON)",14 AUG 2020
5000 Metres Short Track,12:49.60,Kenenisa BEKELE,13 JUN 1982,ETH,"National Indoor Arena, Birmingham (GBR) ",20 FEB 2004
"10,000 Metres",26:11.00,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020
One Hour,21330,Mo FARAH,23 MAR 1983,GBR,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
50 Metres Hurdles,6.25,Mark MCKOY,10 DEC 1961,CAN,Kobe (JPN) ,05 MAR 1986
60 Metres Hurdles,7.27,Grant HOLLOWAY,19 NOV 1997,USA,"Convention Center, Albuquerque, NM (USA) ",16 FEB 2024
110 Metres Hurdles,12.80,Aries MERRITT,24 JUL 1985,USA,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012
400 Metres Hurdles,45.94,Karsten WARHOLM,28 FEB 1996,NOR,"National Stadium, Tokyo (JPN)",03 AUG 2021
3000 Metres Steeplechase,7:52.11,Lamecha GIRMA,26 NOV 2000,ETH,"Stade Charléty, Paris (FRA)",09 JUN 2023
High Jump,2.45,Javier SOTOMAYOR,13 OCT 1967,CUB,Salamanca (ESP),27 JUL 1993
