DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,6.04,Chioma AJUNWA,25 DEC 1971,NGR,Liévin (FRA) ,22 FEB 1998
60 Metres,6.97,Murielle AHOURÉ,23 AUG 1987,CIV,"Arena Birmingham, Birmingham (GBR) ",02 MAR 2018
100 Metres,10.72,Marie-Josée TA LOU,18 NOV 1988,CIV,"Stade Louis II, Monaco (MON)",10 AUG 2022
200 Metres,21.78,Christine MBOMA,22 MAY 2003,NAM,"Letzigrund, Zürich (SUI)",09 SEP 2021
200 Metres Short Track,22.11,Favour OFILI,31 DEC 2002,NGR,"Convention Center, Albuquerque, NM (USA) ",10 MAR 2023
400 Metres,49.10,Falilat OGUNKOYA-OSHEKU,05 DEC 1968,NGR,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996
400 Metres Short Track,50.73,Charity OPARA,20 MAY 1972,NGR,Stuttgart (GER) ,01 FEB 1998
800 Metres,1:54.01,Pamela JELIMO,05 DEC 1989,KEN,"Letzigrund, Zürich (SUI)",29 AUG 2008
800 Metres Short Track,1:57.06,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Liévin (FRA) ,21 FEB 1999
1000 Metres,2:29.15,Faith KIPYEGON,10 JAN 1994,KEN,"Stade Louis II, Monaco (MON)",14 AUG 2020
1000 Metres Short Track,2:30.94,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Stockholm (SWE) ,25 FEB 1999
1500 Metres,3:49.04,Faith KIPYEGON,10 JAN 1994,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024
1500 Metres Short Track,3:53.09,Gudaf TSEGAY,23 JAN 1997,ETH,"Arena Stade Couvert, Liévin (FRA) ",09 FEB 2021
Mile,4:07.64,Faith KIPYEGON,10 JAN 1994,KEN,"Stade Louis II, Monaco (MON)",21 JUL 2023
Mile Short Track,4:13.31,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) ",17 FEB 2016
2000 Metres,5:21.56,Francine NIYONSABA,05 MAY 1993,BDI,"Sports Park Mladost, Zagreb (CRO)",14 SEP 2021
3000 Metres,8:16.60,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) ",06 FEB 2014
3000 Metres Short Track,8:16.60,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) ",06 FEB 2014
5000 Metres,14:00.21,Gudaf TSEGAY,23 JAN 1997,ETH,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
5000 Metres Short Track,14:18.86,Genzebe DIBABA,08 FEB 1991,ETH,"Globe Arena, Stockholm (SWE) ",19 FEB 2015
"10,000 Metres",28:54.14,Beatrice CHEBET,05 MAR 2000,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024
"20,000 Metres",1:05:26.6,Tegla LOROUPE,09 MAY 1973,KEN,Borgholzhausen (GER),03 SEP 2000
One Hour,18517,Dire TUNE,19 JUN 1985,ETH,Ostrava (CZE),12 JUN 2008
"25,000 Metres",1:27:05.9,Tegla LOROUPE,09 MAY 1973,KEN,Mengerskirchen (GER),21 SEP 2002
"30,000 Metres",1:45:50.0,Tegla LOROUPE,09 MAY 1973,KEN,Warstein (GER),06 JUN 2003
50 Metres Hurdles,6.76,Glory ALOZIE,30 DEC 1977,NGR,Liévin (FRA) ,25 FEB 2001
60 Metres Hurdles,7.75,Tobi AMUSAN,23 APR 1997,NGR,"The Track at New Balance, Boston, MA (USA) ",04 FEB 2024
100 Metres Hurdles,12.12,Tobi AMUSAN,23 APR 1997,NGR,"Hayward Field, Eugene, OR (USA)",24 JUL 2022
400 Metres Hurdles,52.90,Nezha BIDOUANE,18 SEP 1969,MAR,"La Cartuja, Sevilla (ESP)",25 AUG 1999
3000 Metres Steeplechase,8:44.32,Beatrice CHEPKOECH,06 JUL 1991,KEN,"Stade Louis II, Monaco (MON)",20 JUL 2018
High Jump,2.06,Hestrie CLOETE,26 AUG 1978,RSA,"Stade de France, Paris-St-Denis (FRA)",31 AUG 2003
Pole Vault,4.42,Elmarie GERRYTS,25 AUG 1972,RSA,Wesel (GER),12 JUN 2000
Long Jump,7.17,Ese BRUME,20 JAN 1996,NGR,"Chula Vista, CA (USA)",29 MAY 2021
Triple Jump,15.39,Francoise MBANGO ETONE,14 APR 1976,CMR,"National Stadium, Beijing (CHN)",17 AUG 2008
Shot Put,18.43,Vivian PETERS-CHUKWUEMEKA,04 MAY 1975,NGR,"Walnut, CA (USA)",19 APR 2003
Discus Throw,64.96,Chioma ONYEKWERE,28 JUN 1994,NGR,"Millican Field at Throw Town, Ramona, OK (USA)",15 APR 2023
Hammer Throw,75.49,Annette Nneka ECHIKUNWOKE,29 JUL 1996,NGR,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",22 MAY 2021
Javelin Throw,69.35,Sunette VILJOEN,06 OCT 1983,RSA,"Icahn Stadium, New York, NY (USA)",09 JUN 2012
5 Kilometres Road,14:13,Beatrice CHEBET,05 MAR 2000,KEN,Barcelona (ESP),31 DEC 2023
5 Kilometres Road,14:13,Agnes Jebet NGETICH,23 JAN 2001,KEN,Valencia (ESP),14 JAN 2024
Half Marathon,1:05:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,Gdynia (POL),17 OCT 2020
Half Marathon,1:02:52,Letesenbet GIDEY,20 MAR 1998,ETH,Valencia (ESP),24 OCT 2021
Marathon,2:16:16,Peres JEPCHIRCHIR,27 SEP 1993,KEN,London (GBR),21 APR 2024
Marathon,2:11:53,Tigst ASSEFA,03 DEC 1996,ETH,Berlin (GER),24 SEP 2023
3000 Metres Race Walk Short Track,14:13.46,Tahani GHAZAL,1993,TUN,Lyon (FRA) ,03 FEB 2018
5000 Metres Race Walk,20:50.03,Chahinez NASRI,03 JUN 1996,TUN,"Stadion Radés, Radés (TUN)",23 JUN 2021
"10,000 Metres Race Walk",43:50.86,Emily Wamusyi NGII,13 AUG 1986,KEN,"Alexander Stadium, Birmingham (GBR)",06 AUG 2022
"20,000 Metres Race Walk",1:36:18.3,Nicolene CRONJE,16 JUN 1983,RSA,Durban (RSA),16 APR 2004
20 Kilometres Race Walk,1:30:40,Grace Wanjiru NJUE,10 JAN 1979,KEN,Nairobi (KEN),06 JUN 2018
35 Kilometres Race Walk,3:42:04,Esther Sandra STEENKAMP,,RSA,Cape Town (RSA),15 JAN 2022
50 Kilometres Race Walk,4:48:00,Natalie LE ROUX,10 JUN 1982,RSA,Taicang (CHN),05 MAY 2018
Heptathlon,6423,Margaret SIMPSON,31 DEC 1981,GHA,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005
Pentathlon Short Track,4558,Eunice BARBER,17 NOV 1974,SLE,"Palais Omnisports de Paris-Bercy, Paris (FRA) ",07 MAR 1997
4x100 Metres Relay,41.90,Côte d’Ivoire,,CIV,"Nemzeti Atlétikai Központ, Budapest (HUN)",25 AUG 2023
4x200 Metres Relay,1:30.52,Côte d’Ivoire,,NGR,"T. Robinson Stadium, Nassau (BAH)",02 MAY 2015
4x400 Metres Relay,3:21.04,Côte d’Ivoire,,NGR,"Olympic Stadium, Atlanta, GA (USA)",03 AUG 1996
