DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,6.31,Susanthika JAYASINGHE,17 DEC 1975,SRI,Liévin (FRA) ,25 FEB 2001
60 Metres,7.09,Susanthika JAYASINGHE,17 DEC 1975,SRI,Stuttgart (GER) ,07 FEB 1999
100 Metres,10.79,Xuemei LI,05 JAN 1977,CHN,Shanghai (CHN),18 OCT 1997
200 Metres,22.01,Xuemei LI,05 JAN 1977,CHN,Shanghai (CHN),22 OCT 1997
200 Metres Short Track,22.99,Susanthika JAYASINGHE,17 DEC 1975,SRI,"Atlantic Pavillion, Lisboa (POR) ",09 MAR 2001
400 Metres,48.14,Salwa Eid NASER,23 MAY 1998,BRN,"Khalifa International Stadium, Doha (QAT)",03 OCT 2019
400 Metres Short Track,51.45,Kemi ADEKOYA,16 JAN 1993,BRN,"Oregon Convention Center, Portland, OR (USA) ",19 MAR 2016
800 Metres,1:55.54,Dong LIU,24 DEC 1973,CHN,Beijing (CHN),09 SEP 1993
800 Metres Short Track,2:00.78,Miho SUGIMORI,14 APR 1978,JPN,Yokohama (JPN) ,22 FEB 2003
1000 Metres,2:35.30,Nelly JEPKOSGEI,14 JUL 1991,BRN,"Olympiastadion, Berlin (GER)",02 SEP 2018
1000 Metres Short Track,2:46.6,Xiujuan GENG,16 JAN 1964,CHN,Beijing (CHN) ,27 MAR 1987
1500 Metres,3:50.46,Yunxia QU,25 DEC 1972,CHN,Beijing (CHN),11 SEP 1993
1500 Metres Short Track,3:59.79,Maryam Yusuf JAMAL,16 SEP 1984,BRN,"Velódromo Luis Puig, Valencia (ESP) ",09 MAR 2008
Mile,4:17.75,Maryam Yusuf JAMAL,16 SEP 1984,BRN,"Boudewijnstadion, Bruxelles (BEL)",14 SEP 2007
Mile Short Track,4:24.71,Maryam Yusuf JAMAL,16 SEP 1984,BRN,"National Indoor Arena, Birmingham (GBR) ",20 FEB 2010
2000 Metres,5:29.41,Junxia WANG,09 JAN 1973,CHN,Beijing (CHN),12 SEP 1993
3000 Metres,8:06.11,Junxia WANG,09 JAN 1973,CHN,Beijing (CHN),13 SEP 1993
3000 Metres Short Track,8:36.03,Nozomi TANAKA,04 SEP 1999,JPN,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
5000 Metres,14:28.09,Jiang BO,13 MAR 1977,CHN,Shanghai (CHN),23 OCT 1997
5000 Metres Short Track,15:23.87,Mikuni YADA,29 OCT 1999,JPN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 FEB 2022
"10,000 Metres",29:31.78,Junxia WANG,09 JAN 1973,CHN,Beijing (CHN),08 SEP 1993
"20,000 Metres",1:06:48.8,Izumi MAKI,10 DEC 1968,JPN,Amagasaki (JPN),20 SEP 1993
One Hour,17952,Junko KATAOKA,13 JUN 1970,JPN,Tokyo (JPN),01 OCT 1994
"25,000 Metres",1:33:53.4,Tamaki OKUNO,,JPN,Tokyo (JPN),10 OCT 1996
"30,000 Metres",1:53:03.6,Tamaki OKUNO,,JPN,Tokyo (JPN),10 OCT 1996
50 Metres Hurdles,6.70,Olga SHISHIGINA,23 DEC 1968,KAZ,Budapest (HUN) ,05 FEB 1999
60 Metres Hurdles,7.82,Olga SHISHIGINA,23 DEC 1968,KAZ,Liévin (FRA) ,21 FEB 1999
100 Metres Hurdles,12.44,Olga SHISHIGINA,23 DEC 1968,KAZ,Luzern (SUI),27 JUN 1995
400 Metres Hurdles,53.09,Kemi ADEKOYA,16 JAN 1993,BRN,"Nemzeti Atlétikai Központ, Budapest (HUN)",24 AUG 2023
3000 Metres Steeplechase,8:50.66,Winfred Mutile YAVI,31 DEC 1999,BRN,"Hayward Field, Eugene, OR (USA)",16 SEP 2023
High Jump,2.00,Nadezhda DUBOVITSKAYA,12 MAR 1998,KAZ,"Central Stadium, Almaty (KAZ)",08 JUN 2021
Pole Vault,4.72,Ling LI,06 JUL 1989,CHN,"Shanghai Stadium, Shanghai (CHN)",18 MAY 2019
Long Jump,7.01,Weili YAO,06 MAY 1968,CHN,Jinan (CHN),04 JUN 1993
Triple Jump,15.25,Olga RYPAKOVA,30 NOV 1984,KAZ,"Poljud Stadion, Split (CRO)",04 SEP 2010
Shot Put,21.76,Meisu LI,17 APR 1959,CHN,Shijiazhuang (CHN),23 APR 1988
Discus Throw,71.68,Yanling XIAO,27 MAR 1968,CHN,Beijing (CHN),14 MAR 1992
Hammer Throw,77.68,Zheng WANG,14 DEC 1987,CHN,Chengdu (CHN),29 MAR 2014
Javelin Throw,67.98,Huihui LYU,26 JUN 1989,CHN,Shenyang (CHN),02 AUG 2019
10 Kilometres Road,29:38,Kalkidan GEZAHEGNE,08 MAY 1991,BRN,Genève (SUI),03 OCT 2021
Half Marathon,1:05:22,Violah JEPCHUMBA,23 OCT 1990,BRN,Praha (CZE),01 APR 2017
Marathon,2:19:12,Mizuki NOGUCHI,03 JUL 1978,JPN,Berlin (GER),25 SEP 2005
Marathon,2:18:59,Honami MAEDA,17 JUL 1996,JPN,Osaka (JPN),28 JAN 2024
100 Kilometres Road,6:33:11,Tomoe ABE,13 AUG 1971,JPN,Lake Saroma (JPN),25 JUN 2000
3000 Metres Race Walk Short Track,12:42.65,Yuko SATO,23 JAN 1968,JPN,Osaka (JPN) ,11 FEB 1994
"10,000 Metres Race Walk",41:37.9,Hongmiao GAO,17 MAR 1974,CHN,Beijing (CHN),07 APR 1994
"20,000 Metres Race Walk",1:29:32.4,Hongjuan SONG,04 JUL 1984,CHN,Changsha (CHN),23 OCT 2003
20 Kilometres Race Walk,1:23:49,Jiayu YANG,18 FEB 1996,CHN,Huangshan (CHN),20 MAR 2021
35 Kilometres Race Walk,2:38:42,Hong LIU,12 MAY 1987,CHN,"Wajima Race Walk Course, Wajima (JPN)",16 APR 2023
50 Kilometres Race Walk,3:59:15,Hong LIU,12 MAY 1987,CHN,Huangshan (CHN),09 MAR 2019
Heptathlon,6942,Ghada SHOUAA,10 SEP 1972,SYR,Götzis (AUT),26 MAY 1996
Decathlon,7798,Irina NAUMENKO,13 FEB 1980,KAZ,Talence (FRA),26 SEP 2004
Pentathlon Short Track,4582,Olga RYPAKOVA,30 NOV 1984,KAZ,Pattaya (THA) ,10 FEB 2006
4x100 Metres Relay,42.23,Sichuan,,CHN,Shanghai (CHN),23 OCT 1997
4x200 Metres Relay,1:32.76,Sichuan,,CHN,"International Stadium, Yokohama (JPN)",12 MAY 2019
4x200 Metres Relay Short Track,1:36.40,Sichuan,,KAZ,Ust-Kamenogorsk (KAZ) ,11 FEB 2017
4x400 Metres Relay,3:24.28,Sichuan,,CHN,Beijing (CHN),13 SEP 1993
4x400 Metres Relay Short Track,3:35.07,Sichuan,,BRN,Doha (QAT) ,21 FEB 2016
4x800 Metres Relay,8:16.2,Sichuan,,CHN,Shanghai (CHN),01 OCT 1991
4x1500 Metres Relay,18:31.18,Sichuan,,JPN,Hitachinaka (JPN),26 MAY 1996
Road Relay,2:11:41,Sichuan,,CHN,Beijing (CHN),28 FEB 1998
