DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,5.96,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) ,09 FEB 1995
60 Metres,6.92,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) ,11 FEB 1993
60 Metres,6.92,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) ,09 FEB 1995
100 Metres,10.73,Christine ARRON,13 SEP 1973,FRA,"Népstadion, Budapest (HUN)",19 AUG 1998
200 Metres,21.63,Dafne SCHIPPERS,15 JUN 1992,NED,"National Stadium, Beijing (CHN)",28 AUG 2015
200 Metres Short Track,22.10,Irina PRIVALOVA,22 NOV 1968,RUS,Liévin (FRA) ,19 FEB 1995
400 Metres,47.60,Marita KOCH,18 FEB 1957,GDR,"Bruce Stadium, Canberra (AUS)",06 OCT 1985
400 Metres Short Track,49.17,Femke BOL,23 FEB 2000,NED,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
800 Metres,1:53.28,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,München (GER),26 JUL 1983
800 Metres Short Track,1:55.82,Jolanda ČEPLAK,12 SEP 1976,SLO,"Ferry-Dusika-Halle, Wien (AUT) ",03 MAR 2002
1000 Metres,2:28.98,Svetlana MASTERKOVA,17 JAN 1968,RUS,Bruxelles (BEL),23 AUG 1996
1000 Metres Short Track,2:31.93,Laura MUIR,09 MAY 1993,GBR,"Barclaycard Arena, Birmingham (GBR) ",18 FEB 2017
1500 Metres,3:51.95,Sifan HASSAN,01 JAN 1993,NED,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
1500 Metres Short Track,3:57.91,Abeba AREGAWI,05 JUL 1990,SWE,"Globe Arena, Stockholm (SWE) ",06 FEB 2014
Mile,4:12.33,Sifan HASSAN,01 JAN 1993,NED,"Stade Louis II, Monaco (MON)",12 JUL 2019
Mile Short Track,4:17.14,Doina MELINTE,27 DEC 1956,ROU,"East Rutherford, NJ (USA) ",09 FEB 1990
2000 Metres,5:25.36,Sonia O'SULLIVAN,28 NOV 1969,IRL,Edinburgh (GBR),08 JUL 1994
3000 Metres,8:18.49,Sifan HASSAN,01 JAN 1993,NED,"Cobb Track and Angell Field, Palo Alto, CA (USA)",30 JUN 2019
3000 Metres Short Track,8:26.41,Laura MUIR,09 MAY 1993,GBR,"Messehalle, Karlsruhe (GER) ",04 FEB 2017
5000 Metres,14:13.42,Sifan HASSAN,01 JAN 1993,NED,"Olympic Stadium, London (GBR)",23 JUL 2023
5000 Metres Short Track,14:30.79,Konstanze KLOSTERHALFEN,18 FEB 1997,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 FEB 2020
"10,000 Metres",29:06.82,Sifan HASSAN,01 JAN 1993,NED,"FBK Stadium, Hengelo (NED)",06 JUN 2021
One Hour,18930,Sifan HASSAN,01 JAN 1993,NED,"Boudewijnstadion, Bruxelles (BEL)",04 SEP 2020
50 Metres Hurdles,6.58,Cornelia OSCHKENAT,29 OCT 1961,GDR,Berlin (GER) ,20 FEB 1988
60 Metres Hurdles,7.68,Susanna KALLUR,16 FEB 1981,SWE,Karlsruhe (GER) ,10 FEB 2008
100 Metres Hurdles,12.21,Yordanka DONKOVA,28 SEP 1961,BUL,Stara Zagora (BUL),20 AUG 1988
