DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,6.3,Pamela KILBORN,12 AUG 1939,AUS,Toronto (CAN) ,29 JAN 1965
60 Metres,7.06,Zoe HOBBS,11 SEP 1997,NZL,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
100 Metres,10.96,Zoe HOBBS,11 SEP 1997,NZL,"Stade de La Charrière, La Chaux-de-Fonds (SUI)",02 JUL 2023
200 Metres,22.23,Melinda GAINSFORD,01 OCT 1971,AUS,Stuttgart (GER),13 JUL 1997
200 Metres Short Track,22.64,Melinda GAINSFORD,01 OCT 1971,AUS,"Palau Sant Jordi, Barcelona (ESP) ",10 MAR 1995
200 Metres Short Track,22.64,Melinda GAINSFORD,01 OCT 1971,AUS,"Palau Sant Jordi, Barcelona (ESP) ",11 MAR 1995
400 Metres,48.63,Cathy FREEMAN,16 FEB 1973,AUS,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996
400 Metres Short Track,52.17,Maree HOLLAND,25 JUL 1963,AUS,"Budapest Sportcsarnok, Budapest (HUN) ",04 MAR 1989
800 Metres,1:57.78,Catriona BISSET,01 MAR 1994,AUS,"Olympic Stadium, London (GBR)",23 JUL 2023
800 Metres Short Track,1:59.46,Catriona BISSET,01 MAR 1994,AUS,"Utilita Arena Birmingham, Birmingham (GBR) ",19 FEB 2022
1000 Metres,2:34.63,Abbey CALDWELL,03 JUL 2001,AUS,"Stadion Wankdorf, Bern (SUI)",04 AUG 2023
1000 Metres Short Track,2:36.96,Toni HODGKINSON,21 DEC 1971,NZL,"Boston, MA (USA) ",06 FEB 2000
1500 Metres,3:50.83,Jessica HULL,22 OCT 1996,AUS,"Stade Charléty, Paris (FRA)",07 JUL 2024
1500 Metres Short Track,4:01.19,Jessica HULL,22 OCT 1996,AUS,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2024
Mile,4:15.34,Jessica HULL,22 OCT 1996,AUS,"Stade Louis II, Monaco (MON)",21 JUL 2023
Mile Short Track,4:19.03,Jessica HULL,22 OCT 1996,AUS,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2024
2000 Metres,5:19.70,Jessica HULL,22 OCT 1996,AUS,"Stade Louis II, Monaco (MON)",12 JUL 2024
3000 Metres,8:24.20,Georgia GRIFFITH,05 DEC 1996,AUS,"Bislett Stadion, Oslo (NOR)",30 MAY 2024
3000 Metres Short Track,8:24.39,Jessica HULL,22 OCT 1996,AUS,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
5000 Metres,14:39.89,Kimberley SMITH,19 NOV 1981,NZL,"New York, NY (USA) ",27 FEB 2009
5000 Metres Short Track,14:39.89,Kimberley SMITH,19 NOV 1981,NZL,"New York, NY (USA) ",27 FEB 2009
"10,000 Metres",30:35.54,Kimberley SMITH,19 NOV 1981,NZL,"Palo Alto, CA (USA)",04 MAY 2008
60 Metres Hurdles,7.73,Sally PEARSON,19 SEP 1986,AUS,"Ataköy Arena, Istanbul (TUR) ",10 MAR 2012
100 Metres Hurdles,12.28,Sally PEARSON,19 SEP 1986,AUS,"DS, Daegu (KOR)",03 SEP 2011
400 Metres Hurdles,53.17,Debbie FLINTOFF-KING,20 APR 1960,AUS,"Olympic Stadium, Jamsil, Seoul (KOR)",28 SEP 1988
3000 Metres Steeplechase,9:14.28,Genevieve LACAZE,04 AUG 1989,AUS,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2016
High Jump,2.03,Nicola OLYSLAGERS,28 DEC 1996,AUS,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
High Jump,2.03,Nicola OLYSLAGERS,28 DEC 1996,AUS,"AIS Athletics Track, Canberra (AUS)",27 JAN 2024
Pole Vault,4.94,Eliza MCCARTNEY,11 DEC 1996,NZL,Jockgrim (GER),17 JUL 2018
Long Jump,7.13,Brooke BUSCHKUEHL,12 JUL 1993,AUS,"CVEATC, Chula Vista, CA (USA)",09 JUL 2022
Triple Jump,14.04,Nicole MLADENIS,22 SEP 1975,AUS,Hobart (AUS),09 MAR 2002
Triple Jump,14.04,Nicole MLADENIS,22 SEP 1975,AUS,Perth (AUS),07 DEC 2003
Shot Put,21.24,Valerie ADAMS,06 OCT 1984,NZL,"DS, Daegu (KOR)",29 AUG 2011
