DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
100 Metres,10.61,Elaine THOMPSON-HERAH,28 JUN 1992,JAM,"National Stadium, Tokyo (JPN)",31 JUL 2021
200 Metres,21.34,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
400 Metres,48.25,Marie-José PÉREC,09 MAY 1968,FRA,"Olympic Stadium, Atlanta, GA (USA)",29 JUL 1996
800 Metres,1:53.43,Nadezhda OLIZARENKO,28 NOV 1953,URS,"Lenin Stadium, Moskva (URS)",27 JUL 1980
1500 Metres,3:53.11,Faith KIPYEGON,10 JAN 1994,KEN,"National Stadium, Tokyo (JPN)",06 AUG 2021
3000 Metres,8:26.53,Tatyana SAMOLENKO,12 AUG 1961,URS,"Olympic Stadium, Seoul (KOR)",25 SEP 1988
5000 Metres,14:26.17,Vivian Jepkemei CHERUIYOT,11 SEP 1983,KEN,"Estádio Olímpico, Rio de Janeiro (BRA)",19 AUG 2016
"10,000 Metres",29:17.45,Almaz AYANA,21 NOV 1991,ETH,"Estádio Olímpico, Rio de Janeiro (BRA)",12 AUG 2016
100 Metres Hurdles,12.26,Jasmine CAMACHO-QUINN,21 AUG 1996,PUR,"National Stadium, Tokyo (JPN)",01 AUG 2021
400 Metres Hurdles,51.46,Sydney MCLAUGHLIN,07 AUG 1999,USA,"National Stadium, Tokyo (JPN)",04 AUG 2021
3000 Metres Steeplechase,8:58.81,Gulnara SAMITOVA-GALKINA,09 JUL 1978,RUS,"National Stadium, Beijing (CHN)",17 AUG 2008
High Jump,2.06,Yelena SLESARENKO,28 FEB 1982,RUS,"Olympic Stadium, Athina (GRE)",28 AUG 2004
Pole Vault,5.05,Yelena ISINBAYEVA,03 JUN 1982,RUS,"National Stadium, Beijing (CHN)",18 AUG 2008
Long Jump,7.40,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
Triple Jump,15.67,Yulimar ROJAS,21 OCT 1995,VEN,"National Stadium, Tokyo (JPN)",01 AUG 2021
Shot Put,22.41,Ilona SLUPIANEK,24 SEP 1956,GDR,"Lenin Stadium, Moskva (URS)",24 JUL 1980
Discus Throw,72.30,Martina HELLMANN,12 DEC 1960,GDR,"Olympic Stadium, Seoul (KOR)",29 SEP 1988
Hammer Throw,82.29,Anita WŁODARCZYK,08 AUG 1985,POL,"Estádio Olímpico, Rio de Janeiro (BRA)",15 AUG 2016
Javelin Throw,71.53,Olisdeilys MENÉNDEZ,14 NOV 1979,CUB,"Olympic Stadium, Athina (GRE)",27 AUG 2004
Marathon,2:23:07,Tiki GELANA,22 OCT 1987,ETH,"Olympic Stadium, London (GBR)",05 AUG 2012
20 Kilometres Race Walk,1:25:16,Shijie QIEYANG,11 NOV 1990,CHN,"Olympic Stadium, London (GBR)",11 AUG 2012
Heptathlon,7291,Jackie JOYNER-KERSEE,03 MAR 1962,USA,"Olympic Stadium, Seoul (KOR)",24 SEP 1988
4x100 Metres Relay,40.82,United States,,USA,"Olympic Stadium, London (GBR)",10 AUG 2012
4x400 Metres Relay,3:15.17,Soviet Union,,URS,"Olympic Stadium, Seoul (KOR)",01 OCT 1988
