DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,5.61,Deji ALIU,22 NOV 1975,NGR,Liévin (FRA) ,21 FEB 1999
60 Metres,6.45,Leonard MYLES-MILLS,05 SEP 1973,GHA,Air Force Academy (USA) ,20 FEB 1999
100 Metres,9.77,Ferdinand OMANYALA,02 JAN 1996,KEN,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021
200 Metres,19.50,Letsile TEBOGO,07 JUN 2003,BOT,"Olympic Stadium, London (GBR)",23 JUL 2023
200 Metres Short Track,19.92,Frank FREDERICKS,02 OCT 1967,NAM,Liévin (FRA) ,18 FEB 1996
400 Metres,43.03,Wayde VAN NIEKERK,15 JUL 1992,RSA,"Estádio Olímpico, Rio de Janeiro (BRA)",14 AUG 2016
400 Metres Short Track,45.18,Eugene OMALLA,05 OCT 2000,UGA,"Sports Performance Center, Lubbock, TX (USA) ",23 FEB 2024
800 Metres,1:40.91,David RUDISHA,17 DEC 1988,KEN,"Olympic Stadium, London (GBR)",09 AUG 2012
800 Metres Short Track,1:43.98,Michael SARUNI,18 JUN 1995,KEN,"New York, NY (USA) ",09 FEB 2019
1000 Metres,2:11.96,Noah NGENY,02 NOV 1978,KEN,Rieti (ITA),05 SEP 1999
1000 Metres Short Track,2:14.20,Ayanleh SOULEIMAN,03 DEC 1992,DJI,"Globe Arena, Stockholm (SWE) ",17 FEB 2016
1500 Metres,3:26.00,Hicham EL GUERROUJ,14 SEP 1974,MAR,"Stadio Olimpico, Roma (ITA)",14 JUL 1998
1500 Metres Short Track,3:31.04,Samuel TEFERA,23 OCT 1999,ETH,"Arena Birmingham, Birmingham (GBR) ",16 FEB 2019
Mile,3:43.13,Hicham EL GUERROUJ,14 SEP 1974,MAR,"Stadio Olimpico, Roma (ITA)",07 JUL 1999
Mile Short Track,3:47.01,Yomif KEJELCHA,01 AUG 1997,ETH,"Boston, MA (USA) ",03 MAR 2019
2000 Metres,4:44.79,Hicham EL GUERROUJ,14 SEP 1974,MAR,"Olympiastadion, Berlin (GER)",07 SEP 1999
3000 Metres,7:20.67,Daniel KOMEN,17 MAY 1976,KEN,Rieti (ITA),01 SEP 1996
3000 Metres Short Track,7:23.81,Lamecha GIRMA,26 NOV 2000,ETH,"Arena Stade Couvert, Liévin (FRA) ",15 FEB 2023
5000 Metres,12:35.36,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Stade Louis II, Monaco (MON)",14 AUG 2020
5000 Metres Short Track,12:49.60,Kenenisa BEKELE,13 JUN 1982,ETH,"National Indoor Arena, Birmingham (GBR) ",20 FEB 2004
"10,000 Metres",26:11.00,Joshua CHEPTEGEI,12 SEP 1996,UGA,"Estadio de Atletismo del Turia, Valencia (ESP)",07 OCT 2020
One Hour,21285,Haile GEBRSELASSIE,18 APR 1973,ETH,Ostrava (CZE),27 JUN 2007
"25,000 Metres",1:12:25.4,Moses MOSOP,07 JUL 1985,KEN,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
"30,000 Metres",1:26:47.4,Moses MOSOP,07 JUL 1985,KEN,"Hayward Field, Eugene, OR (USA)",03 JUN 2011
50 Metres Hurdles,6.48,Shaun BOWNES,24 OCT 1970,RSA,Liévin (FRA) ,25 FEB 2001
60 Metres Hurdles,7.52,Shaun BOWNES,24 OCT 1970,RSA,Gent (BEL) ,23 FEB 2001
110 Metres Hurdles,13.11,Antonio ALKANA,12 APR 1990,RSA,"Stadion Juliska, Praha (CZE)",05 JUN 2017
400 Metres Hurdles,47.10,Samuel MATETE,27 JUL 1968,ZAM,"Letzigrund, Zürich (SUI)",07 AUG 1991
3000 Metres Steeplechase,7:52.11,Lamecha GIRMA,26 NOV 2000,ETH,"Stade Charléty, Paris (FRA)",09 JUN 2023
High Jump,2.38,Jacques FREITAG,11 JUN 1982,RSA,Oudtshoorn (RSA),05 MAR 2005
Pole Vault,6.03,Okkert BRITS,22 AUG 1973,RSA,Köln (GER),18 AUG 1995
Long Jump,8.65,Luvo MANYONGA,08 JAN 1991,RSA,Potchefstroom (RSA),22 APR 2017
Triple Jump,18.07,Hugues Fabrice ZANGO,25 JUN 1993,BUR,"Stadium Jean-Pellez, Aubiére (FRA) ",16 JAN 2021
Shot Put,21.97,Janus ROBBERTS,10 MAR 1979,RSA,"Eugene, OR (USA)",02 JUN 2001
Discus Throw,70.32,Frantz KRUGER,22 MAY 1975,RSA,Salon-de-Provence (FRA),26 MAY 2002
Hammer Throw,81.27,Mostafa ELGAMEL,01 OCT 1988,EGY,Cairo (EGY),21 MAR 2014
