DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,5.56,Donovan BAILEY,16 DEC 1967,CAN,"Reno, NV (USA) ",09 FEB 1996
50 Metres,5.56,Maurice GREENE,23 JUL 1974,USA,"Los Angeles, CA (USA) ",13 FEB 1999
60 Metres,6.34,Christian COLEMAN,06 MAR 1996,USA,"Albuquerque, NM (USA) ",18 FEB 2018
100 Metres,9.58,Usain BOLT,21 AUG 1986,JAM,"Olympiastadion, Berlin (GER)",16 AUG 2009
200 Metres,19.19,Usain BOLT,21 AUG 1986,JAM,"Olympiastadion, Berlin (GER)",20 AUG 2009
200 Metres Short Track,20.02,Elijah HALL-THOMPSON,22 AUG 1994,USA,"College Station, TX (USA) ",10 MAR 2018
400 Metres,43.18,Michael JOHNSON,13 SEP 1967,USA,"La Cartuja, Sevilla (ESP)",26 AUG 1999
400 Metres Short Track,44.52,Michael NORMAN,03 DEC 1997,USA,"College Station, TX (USA) ",10 MAR 2018
800 Metres,1:42.34,Donavan BRAZIER,15 APR 1997,USA,"Khalifa International Stadium, Doha (QAT)",01 OCT 2019
800 Metres Short Track,1:44.21,Donavan BRAZIER,15 APR 1997,USA,"Ocean Breeze Athl. Complex, New York, NY (USA) ",13 FEB 2021
1000 Metres,2:13.9,Rick WOHLHUTER,23 DEC 1948,USA,Oslo (NOR),30 JUL 1974
1000 Metres Short Track,2:14.74,Marco AROP,20 SEP 1998,CAN,"The Track at New Balance, Boston, MA (USA) ",04 FEB 2024
1500 Metres,3:29.02,Yared NUGUSE,01 JUN 1999,USA,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
1500 Metres Short Track,3:33.22,Yared NUGUSE,01 JUN 1999,USA,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2023
Mile,3:43.97,Yared NUGUSE,01 JUN 1999,USA,"Hayward Field, Eugene, OR (USA)",16 SEP 2023
Mile Short Track,3:47.38,Yared NUGUSE,01 JUN 1999,USA,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2023
2000 Metres,4:51.54,Charles PHILIBERT-THIBOUTOT,31 DEC 1990,CAN,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023
3000 Metres,7:25.47,Grant FISHER,22 APR 1997,USA,"Hayward Field, Eugene, OR (USA)",17 SEP 2023
3000 Metres Short Track,7:28.23,Yared NUGUSE,01 JUN 1999,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 JAN 2023
5000 Metres,12:46.96,Grant FISHER,22 APR 1997,USA,"Boudewijnstadion, Bruxelles (BEL)",02 SEP 2022
5000 Metres Short Track,12:51.61,William KINCAID,21 SEP 1992,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 JAN 2023
"10,000 Metres",26:33.84,Grant FISHER,22 APR 1997,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",06 MAR 2022
50 Metres Hurdles,6.25,Mark MCKOY,10 DEC 1961,CAN,Kobe (JPN) ,05 MAR 1986
60 Metres Hurdles,7.27,Grant HOLLOWAY,19 NOV 1997,USA,"Convention Center, Albuquerque, NM (USA) ",16 FEB 2024
110 Metres Hurdles,12.80,Aries MERRITT,24 JUL 1985,USA,"Boudewijnstadion, Bruxelles (BEL)",07 SEP 2012
400 Metres Hurdles,46.17,Rai BENJAMIN,27 JUL 1997,USA,"National Stadium, Tokyo (JPN)",03 AUG 2021
3000 Metres Steeplechase,8:00.45,Evan JAGER,08 MAR 1989,USA,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015
High Jump,2.45,Javier SOTOMAYOR,13 OCT 1967,CUB,Salamanca (ESP),27 JUL 1993
Pole Vault,6.07,KC LIGHTFOOT,11 NOV 1999,USA,"Vanderbilt Track, Nashville, TN (USA)",02 JUN 2023
Long Jump,8.95,Mike POWELL,10 NOV 1963,USA,"National Stadium, Tokyo (JPN)",30 AUG 1991
Triple Jump,18.21,Christian TAYLOR,18 JUN 1990,USA,"National Stadium, Beijing (CHN)",27 AUG 2015
Shot Put,23.56,Ryan CROUSER,18 DEC 1992,USA,"Drake Stadium, Los Angeles, CA (USA)",27 MAY 2023
Discus Throw,71.32,Ben PLUCKNETT,13 APR 1954,USA,"Eugene, OR (USA)",04 JUN 1983
Hammer Throw,84.38,Ethan KATZBERG,05 APR 2002,CAN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024
