DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
60 Metres,6.52,José Carlos MOREIRA,28 SEP 1983,BRA,Paris (FRA) ,13 FEB 2009
100 Metres,9.89,Issamade ASINGA,29 DEC 2004,SUR,"COTP Stadium, São Paulo (BRA)",28 JUL 2023
200 Metres,19.81,Alonso EDWARD,08 DEC 1989,PAN,"Olympiastadion, Berlin (GER)",20 AUG 2009
200 Metres Short Track,20.65,Robson DA SILVA,04 SEP 1964,BRA,Sindelfingen (GER) ,26 FEB 1989
300 Metres Short Track,32.19,Robson DA SILVA,04 SEP 1964,BRA,Karlsruhe (GER) ,24 FEB 1989
400 Metres,43.93,Anthony José ZAMBRANO,17 JAN 1998,COL,"National Stadium, Tokyo (JPN)",02 AUG 2021
400 Metres Short Track,46.07,Jhon Alejandro PERLAZA,26 AUG 1994,COL,"Birmingham, AL (USA) ",09 MAR 2019
800 Metres,1:41.77,Joaquim CRUZ,12 MAR 1963,BRA,Köln (GER),26 AUG 1984
800 Metres Short Track,1:45.43,José Luis BARBOSA,27 MAY 1961,BRA,Pireaus (GRE) ,08 MAR 1989
1000 Metres,2:14.09,Joaquim CRUZ,12 MAR 1963,BRA,Nice (FRA),20 AUG 1984
1000 Metres Short Track,2:16.99,Joaquim CRUZ,12 MAR 1963,BRA,Stuttgart (GER) ,12 FEB 1989
1500 Metres,3:33.25,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,Rieti (ITA),28 AUG 2005
1500 Metres Short Track,3:38.03,Federico BRUNO,18 JUN 1993,ARG,"Pista Coberta de Catalunya, Sabadell (ESP) ",08 FEB 2022
Mile,3:51.05,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,Oslo (NOR),29 JUL 2005
Mile Short Track,3:56.26,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,"Fayetteville, AR (USA) ",10 FEB 2001
2000 Metres,5:03.34,Hudson SANTOS DE SOUZA,25 FEB 1977,BRA,Manaus (BRA),06 APR 2002
2000 Metres Short Track,5:09.61,Federico BRUNO,18 JUN 1993,ARG,Bordeaux (FRA) ,26 JAN 2013
