DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,6.00,Merlene OTTEY,10 MAY 1960,JAM,Moskva (RUS) ,04 FEB 1994
60 Metres,6.94,Aleia HOBBS,24 FEB 1996,USA,"Convention Center, Albuquerque, NM (USA) ",18 FEB 2023
60 Metres,6.94,Julien ALFRED,10 JUN 2001,LCA,"Convention Center, Albuquerque, NM (USA) ",11 MAR 2023
100 Metres,10.49,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Indianapolis, IN (USA)",16 JUL 1988
200 Metres,21.34,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988
200 Metres Short Track,21.87,Merlene OTTEY,10 MAY 1960,JAM,Liévin (FRA) ,13 FEB 1993
400 Metres,48.36,Shaunae MILLER-UIBO,15 APR 1994,BAH,"National Stadium, Tokyo (JPN)",06 AUG 2021
400 Metres Short Track,49.48,Britton WILSON,13 NOV 2000,USA,"Convention Center, Albuquerque, NM (USA) ",11 MAR 2023
800 Metres,1:54.44,Ana Fidelia QUIROT,23 MAR 1963,CUB,"Estadio Olímpico, Barcelona (ESP)",09 SEP 1989
800 Metres Short Track,1:58.29,Ajee' WILSON,08 MAY 1994,USA,"Armory Track&Field Center, New York, NY (USA) ",08 FEB 2020
1000 Metres,2:31.80,Regina JACOBS,28 AUG 1963,USA,"Brunswick, ME (USA)",03 JUL 1999
1000 Metres Short Track,2:33.75,Lucia STAFFORD,17 AUG 1998,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",28 JAN 2023
1500 Metres,3:54.99,Shelby HOULIHAN,08 FEB 1993,USA,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
1500 Metres Short Track,3:59.98,Regina JACOBS,28 AUG 1963,USA,"Boston, MA (USA) ",01 FEB 2003
Mile,4:16.35,Nikki HILTZ,23 OCT 1994,USA,"Stade Louis II, Monaco (MON)",21 JUL 2023
Mile Short Track,4:16.41,Elle ST. PIERRE,20 FEB 1995,USA,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2024
2000 Metres,5:28.78,Cory Ann MCGEE,29 MAY 1992,USA,"Stade Louis II, Monaco (MON)",12 JUL 2024
3000 Metres,8:25.70,Karissa SCHWEIZER,04 MAY 1996,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 FEB 2020
3000 Metres,8:20.87,Elle ST. PIERRE,20 FEB 1995,USA,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
3000 Metres Short Track,8:20.87,Elle ST. PIERRE,20 FEB 1995,USA,"Glasgow Arena, Glasgow (GBR) ",02 MAR 2024
5000 Metres,14:19.45,Alicia MONSON,13 MAY 1998,USA,"Olympic Stadium, London (GBR)",23 JUL 2023
5000 Metres Short Track,14:31.38,Gabriela DEBUES-STAFFORD,13 SEP 1995,CAN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",11 FEB 2022
