DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,6.31,Jennifer INNISS,21 NOV 1959,GUY,"Daly City, CA (USA) ",11 FEB 1983
60 Metres,7.14,Vitoria Cristina ROSA,12 JAN 1996,BRA,"Štark Arena, Beograd (SRB) ",18 MAR 2022
100 Metres,10.91,Rosângela SANTOS,20 DEC 1990,BRA,"Olympic Stadium, London (GBR)",06 AUG 2017
200 Metres,22.47,Vitoria Cristina ROSA,12 JAN 1996,BRA,"Hayward Field, Eugene, OR (USA)",19 JUL 2022
200 Metres Short Track,23.02,Brenessa THOMPSON,22 JUL 1996,GUY,"Lubbock, TX (USA) ",26 JAN 2019
400 Metres,49.64,Ximena RESTREPO,10 MAR 1969,COL,"Estadio Olímpico, Barcelona (ESP)",05 AUG 1992
400 Metres Short Track,51.57,Aliyah ABRAMS,03 APR 1997,GUY,"Štark Arena, Beograd (SRB) ",18 MAR 2022
800 Metres,1:56.68,Letitia VRIESDE,05 OCT 1964,SUR,"Ullevi Stadium, Göteborg (SWE)",13 AUG 1995
800 Metres Short Track,1:59.21,Letitia VRIESDE,05 OCT 1964,SUR,Birmingham (GBR) ,23 FEB 1997
1000 Metres,2:32.25,Letitia VRIESDE,05 OCT 1964,SUR,Berlin (GER),10 SEP 1991
1000 Metres Short Track,2:38.30,Letitia VRIESDE,05 OCT 1964,SUR,Stockholm (SWE) ,25 FEB 1999
1500 Metres,4:05.67,Letitia VRIESDE,05 OCT 1964,SUR,"National Stadium, Tokyo (JPN)",31 AUG 1991
1500 Metres Short Track,4:12.95,Fedra Aldana LUNA,05 JUL 1995,ARG,"Pista Coberta de Catalunya, Sabadell (ESP) ",28 JAN 2023
Mile,4:27.41,Joselyn Daniely BREA,12 AUG 1994,VEN,"Stade Louis II, Monaco (MON)",21 JUL 2023
Mile Short Track,4:34.37,Carmen ALDER CAISALITIN,03 MAR 2003,ECU,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",27 JAN 2024
2000 Metres,5:50.21,María Pía FERNÁNDEZ,01 APR 1995,URU,"Stade Louis II, Monaco (MON)",12 JUL 2024
3000 Metres,8:43.26,Joselyn Daniely BREA,12 AUG 1994,VEN,"Stadion Śląski, Chorzów (POL)",16 JUL 2023
3000 Metres Short Track,8:57.59,Fedra Aldana LUNA,05 JUL 1995,ARG,"Stade couvert Jesse Owens, Val-de-Reuil (FRA) ",04 FEB 2023
5000 Metres,14:36.59,Joselyn Daniely BREA,12 AUG 1994,VEN,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024
5000 Metres Short Track,15:51.98,Carmen ALDER CAISALITIN,03 MAR 2003,ECU,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",02 DEC 2023
"10,000 Metres",31:33.07,Florencia BORELLI,30 OCT 1992,ARG,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024
60 Metres Hurdles,7.91,Yvette LEWIS,16 MAR 1985,PAN,"Ergo Arena, Sopot (POL) ",07 MAR 2014
100 Metres Hurdles,12.49,Maribel Vanessa CAICEDO,01 APR 1998,ECU,"John McDonnell Field, Fayetteville, AR (USA)",23 MAY 2024
400 Metres Hurdles,53.69,Gianna WOODRUFF,18 NOV 1993,PAN,"Hayward Field, Eugene, OR (USA)",20 JUL 2022
3000 Metres Steeplechase,9:24.38,Tatiane Raquel DA SILVA,10 JUN 1990,BRA,"Woodside Stadium, Watford (GBR)",11 JUN 2022
High Jump,1.96,Solange WITTEVEEN,06 FEB 1976,ARG,Oristano (ITA),08 SEP 1997
Pole Vault,4.87,Fabiana MURER,16 MAR 1981,BRA,Sao Bernardo do Campo (BRA),03 JUL 2016
Long Jump,7.26,Maurren Higa MAGGI,25 JUN 1976,BRA,Bogotá (COL),25 JUN 1999
Triple Jump,15.74,Yulimar ROJAS,21 OCT 1995,VEN,"Štark Arena, Beograd (SRB) ",20 MAR 2022
Shot Put,19.30,Elisângela Maria ADRIANO,27 JUL 1972,BRA,Tunja (COL),14 JUL 2001
Discus Throw,65.34,Andressa DE MORAIS,21 DEC 1990,BRA,Leiria (POR),26 JUN 2019
Hammer Throw,73.74,Jennifer DAHLGREN,21 APR 1984,ARG,Buenos Aires (ARG),10 APR 2010
Javelin Throw,66.70,Flor Denis RUIZ HURTADO,29 JAN 1991,COL,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",12 MAY 2024
5 Kilometres Road,15:39,Carmen DE OLIVEIRA,17 AUG 1965,BRA,"Albany, NY (USA)",06 JUN 1992
10 Kilometres Road,32:03,Carmen DE OLIVEIRA,17 AUG 1965,BRA,"New York, NY (USA)",04 JUN 1994
Half Marathon,1:09:28,Florencia BORELLI,30 OCT 1992,ARG,Buenos Aires (ARG),27 AUG 2023
Marathon,2:24:18,Florencia BORELLI,30 OCT 1992,ARG,Sevilla (ESP),18 FEB 2024
100 Kilometres Road,7:20:22,Maria VENANCIO,02 MAY 1958,BRA,Cubatao (BRA),08 AUG 1998
3000 Metres Race Walk Short Track,13:24.0,Angela CASTRO,21 FEB 1993,BOL,"Gobierno Autónomo Municipal de Cochabamba, Cochabamba (BOL) ",12 FEB 2023
"10,000 Metres Race Walk",42:02.99,Lorena ARENAS,17 SEP 1993,COL,Trujillo (PER),25 AUG 2018
"20,000 Metres Race Walk",1:29:07.5,Mary Luz ANDIA,09 NOV 2000,PER,"COTP Stadium, São Paulo (BRA)",29 JUL 2023
20 Kilometres Race Walk,1:25:29,Glenda MOREJÓN,30 MAY 2000,ECU,La Coruña (ESP),08 JUN 2019
35 Kilometres Race Walk,2:37:44,Kimberly GARCÍA LEÓN,19 OCT 1993,PER,Dudince (SVK),25 MAR 2023
50 Kilometres Race Walk,4:11:12,Johana ORDÓŇEZ,12 DEC 1987,ECU,Lima (PER),11 AUG 2019
Heptathlon,6346,Evelis AGUILAR,03 JAN 1993,COL,Ibagué (COL),14 MAR 2021
Decathlon,6570,Andrea BORDALEJO,13 JUN 1977,ARG,Rosario (ARG),28 NOV 2004
Pentathlon Short Track,4292,Vanessa CHEFER SPINOLA,05 MAR 1990,BRA,Tallinn (EST) ,14 FEB 2016
4x100 Metres Relay,42.29,Brazil,,BRA,"Luzhniki Stadion, Moskva (RUS)",18 AUG 2013
4x200 Metres Relay,1:35.91,Brazil,,ECU,"International Stadium, Yokohama (JPN)",12 MAY 2019
4x400 Metres Relay,3:26.68,Brazil,,BRA,São Paulo (BRA),07 AUG 2011
4x400 Metres Relay Short Track,3:47.37,Brazil,,BOL,Cochabamba (BOL) ,20 FEB 2022
Road Relay,2:32:55,Brazil,,BRA,Manaus (BRA),18 APR 1998
