DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
60 Metres,6.52,Matt SHIRVINGTON,25 OCT 1978,AUS,"Green Dome, Maebashi (JPN) ",07 MAR 1999
60 Metres,6.52,Matt SHIRVINGTON,25 OCT 1978,AUS,"Green Dome, Maebashi (JPN) ",07 MAR 1999
100 Yards,9.41,Rohan BROWNING,31 DEC 1997,AUS,"Olympic Stadium, Sydney (AUS)",06 MAR 2021
100 Metres,9.93,Patrick JOHNSON,26 SEP 1972,AUS,Mito (JPN),05 MAY 2003
200 Metres,20.06,Peter NORMAN,15 JUN 1942,AUS,"Estadio Olímpico, Ciudad de México (MEX)",16 OCT 1968
200 Metres Short Track,20.71,Damien MARSH,28 MAR 1971,AUS,"The Sky Dome, Toronto (CAN) ",14 MAR 1993
400 Metres,44.38,Darren CLARK,06 SEP 1965,AUS,"Olympic Stadium, Jamsil, Seoul (KOR)",26 SEP 1988
400 Metres Short Track,45.44,Steven SOLOMON,16 MAY 1993,AUS,"Clemson, SC (USA) ",23 FEB 2018
800 Metres,1:43.99,Joseph DENG,07 JUL 1998,AUS,"Stade Raymond Troussier, Decines (FRA)",08 JUL 2023
800 Metres Short Track,1:45.59,Charlie HUNTER,20 JUL 1996,AUS,"Randal Tyson Indoor Center, Fayetteville, AR (USA) ",13 FEB 2021
1000 Metres,2:16.09,Jeffrey RISELEY,11 NOV 1986,AUS,"Mestský Stadion, Ostrava (CZE)",17 JUN 2014
1000 Metres Short Track,2:16.95,Jack ANSTEY,08 APR 1997,AUS,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",10 FEB 2024
1500 Metres,3:29.41,Oliver HOARE,29 JAN 1997,AUS,"Bislett Stadion, Oslo (NOR)",15 JUN 2023
1500 Metres Short Track,3:32.35,Oliver HOARE,29 JAN 1997,AUS,"Ocean Breeze Athl. Complex, New York, NY (USA) ",13 FEB 2021
Mile,3:47.48,Oliver HOARE,29 JAN 1997,AUS,"Bislett Stadion, Oslo (NOR)",16 JUN 2022
Mile Short Track,3:50.83,Oliver HOARE,29 JAN 1997,AUS,"Armory Track&Field Center, New York, NY (USA) ",29 JAN 2022
Mile Short Track,3:50.83,Oliver HOARE,29 JAN 1997,AUS,"Armory Track&Field Center, New York, NY (USA) ",11 FEB 2023
2000 Metres,4:48.77,Stewart MCSWEYN,01 JUN 1995,AUS,"Boudewijnstadion, Bruxelles (BEL)",08 SEP 2023
3000 Metres,7:28.02,Stewart MCSWEYN,01 JUN 1995,AUS,"Stadio Olimpico, Roma (ITA)",17 SEP 2020
3000 Metres Short Track,7:34.50,Craig MOTTRAM,18 JUN 1980,AUS,"Boston, MA (USA) ",26 JAN 2008
5000 Metres,12:55.76,Craig MOTTRAM,18 JUN 1980,AUS,"Crystal Palace, London (GBR)",30 JUL 2004
5000 Metres Short Track,13:04.33,Geordie BEAMISH,24 OCT 1996,NZL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) ",26 JAN 2024
"10,000 Metres",27:09.57,Jack RAYNER,19 DEC 1995,AUS,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024
"20,000 Metres",58:37.2,Robert DE CASTELLA,27 FEB 1957,AUS,Roma (ITA),17 APR 1982
One Hour,20516,Robert DE CASTELLA,27 FEB 1957,AUS,Roma (ITA),17 APR 1982
"25,000 Metres",1:16:29.0,Jack FOSTER,23 MAY 1932,NZL,Hamilton (NZL),14 AUG 1971
"30,000 Metres",1:32:18.6,Jack FOSTER,23 MAY 1932,NZL,Hamilton (NZL),14 AUG 1971
50 Metres Hurdles,7.09,Joseph RODAN,26 OCT 1977,FIJ,"Los Angeles, CA (USA) ",20 JAN 2001
60 Metres Hurdles,7.56,Chris DOUGLAS,10 FEB 1997,AUS,"Štark Arena, Beograd (SRB) ",20 MAR 2022
110 Metres Hurdles,13.29,Kyle VANDER-KUYP,30 MAY 1971,AUS,"Ullevi Stadium, Göteborg (SWE)",11 AUG 1995
400 Metres Hurdles,48.28,Rohan ROBINSON,15 NOV 1971,AUS,"Olympic Stadium, Atlanta, GA (USA)",31 JUL 1996
3000 Metres Steeplechase,8:09.64,Geordie BEAMISH,24 OCT 1996,NZL,"Stade Charléty, Paris (FRA)",07 JUL 2024
High Jump,2.36,Tim FORSYTH,17 AUG 1973,AUS,Melbourne (AUS),02 MAR 1997
High Jump,2.36,Brandon STARC,24 NOV 1993,AUS,Eberstadt (GER),26 AUG 2018
High Jump,2.36,Hamish KERR,17 AUG 1996,NZL,"Glasgow Arena, Glasgow (GBR) ",03 MAR 2024
Pole Vault,6.06,Steven HOOKER,16 JUL 1982,AUS,"Boston, MA (USA) ",07 FEB 2009
Long Jump,8.54,Mitchell WATT,25 MAR 1988,AUS,"Olympiastadion, Stockholm (SWE)",29 JUL 2011
Triple Jump,17.46,Kenneth LORRAWAY,06 FEB 1956,AUS,London (GBR),07 AUG 1982
Shot Put,22.90,Tom WALSH,01 MAR 1992,NZL,"Khalifa International Stadium, Doha (QAT)",05 OCT 2019
Discus Throw,71.48,Alex ROSE,17 NOV 1991,SAM,"GVSU Track/Lacrosse Stadium, Allendale, MI (USA)",11 MAY 2024
Hammer Throw,79.29,Stuart RENDELL,30 JUN 1972,AUS,Varaždin (CRO),06 JUL 2002
Javelin Throw,89.02,Jarrod BANNISTER,03 OCT 1984,AUS,Brisbane (AUS),29 FEB 2008
10 Kilometres Road,27:28,Zane ROBERTSON,14 NOV 1989,NZL,Berlin (GER),09 OCT 2016
10 Kilometres Road,27:28,Jake ROBERTSON,14 NOV 1989,NZL,"New Orleans, LA (USA)",01 APR 2018
Half Marathon,59:47,Zane ROBERTSON,14 NOV 1989,NZL,Marugame (JPN),01 FEB 2015
Marathon,2:07:31,Brett ROBINSON,08 MAY 1991,AUS,Fukuoka (JPN),04 DEC 2022
100 Kilometres Road,6:29:25,Timothy SLOAN,29 JUL 1967,AUS,Richmond (AUS),23 APR 1995
5000 Metres Race Walk Short Track,18:52.20,David SMITH,24 JUL 1955,AUS,"Hoosier Dome, Indianapolis, IN (USA) ",07 MAR 1987
"20,000 Metres Race Walk",1:19:48.1,Nathan DEAKES,17 AUG 1977,AUS,Brisbane (AUS),04 SEP 2001
20 Kilometres Race Walk,1:17:33,Nathan DEAKES,17 AUG 1977,AUS,Cixi City (CHN),23 APR 2005
"30,000 Metres Race Walk",2:09:20.4,Craig BARRETT,16 NOV 1971,NZL,North Shore City (NZL),19 JUL 1998
35 Kilometres Race Walk,2:26:25,Rhydian COWLEY,04 JAN 1991,AUS,"Stromlo Forest Park, Canberra (AUS)",09 JUN 2024
"50,000 Metres Race Walk",3:43:50.0,Simon BAKER,06 FEB 1958,AUS,Melbourne (AUS),09 SEP 1990
50 Kilometres Race Walk,3:35:47,Nathan DEAKES,17 AUG 1977,AUS,Geelong (AUS),02 DEC 2006
Decathlon,8649,Ashley MOLONEY,13 MAR 2000,AUS,"National Stadium, Tokyo (JPN)",05 AUG 2021
Heptathlon Short Track,6344,Ashley MOLONEY,13 MAR 2000,AUS,"Štark Arena, Beograd (SRB) ",19 MAR 2022
4x100 Metres Relay,38.17,Australia,,AUS,"Ullevi Stadium, Göteborg (SWE)",12 AUG 1995
4x100 Metres Relay,38.17,Australia,,AUS,"Olympic Stadium, London (GBR)",10 AUG 2012
4x200 Metres Relay,1:23.04,Australia,,AUS,Sydney (AUS),06 DEC 1998
4x400 Metres Relay,2:59.70,Australia,,AUS,"Memorial Coliseum, Los Angeles, CA (USA)",11 AUG 1984
4x400 Metres Relay Short Track,3:08.49,Australia,,AUS,"Palacio de los Deportes, Sevilla (ESP) ",10 MAR 1991
4x800 Metres Relay,7:11.48,Australia,,AUS,"T. Robinson Stadium, Nassau (BAH)",24 MAY 2014
4x1500 Metres Relay,14:46.04,Australia,,AUS,"T. Robinson Stadium, Nassau (BAH)",25 MAY 2014
