DISCIPLINE,PERF,COMPETITOR,DOB,COUNTRY,VENUE,DATE
50 Metres,5.96,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) (i),09 FEB 1995
60 Metres,6.92,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) (i),11 FEB 1993
60 Metres,6.92,Irina PRIVALOVA,22 NOV 1968,RUS,Madrid (ESP) (i),09 FEB 1995
100 Metres,10.49,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Indianapolis, IN (USA)",16 JUL 1988
200 Metres,21.34,Florence GRIFFITH-JOYNER,21 DEC 1959,USA,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988
200 Metres Short Track,21.87,Merlene OTTEY,10 MAY 1960,JAM,Liévin (FRA) (i),13 FEB 1993
400 Metres,47.60,Marita KOCH,18 FEB 1957,GDR,"Bruce Stadium, Canberra (AUS)",06 OCT 1985
400 Metres Short Track,49.26,Femke BOL,23 FEB 2000,NED,"Omnisport, Apeldoorn (NED) (i)",19 FEB 2023
400 Metres Short Track,49.24,Femke BOL,23 FEB 2000,NED,"Omnisport, Apeldoorn (NED) (i)",18 FEB 2024
400 Metres Short Track,49.17,Femke BOL,23 FEB 2000,NED,"Glasgow Arena, Glasgow (GBR) (i)",02 MAR 2024
800 Metres,1:53.28,Jarmila KRATOCHVÍLOVÁ,26 JAN 1951,TCH,München (GER),26 JUL 1983
800 Metres Short Track,1:55.82,Jolanda ČEPLAK,12 SEP 1976,SLO,"Ferry-Dusika-Halle, Wien (AUT) (i)",03 MAR 2002
1000 Metres,2:28.98,Svetlana MASTERKOVA,17 JAN 1968,RUS,Bruxelles (BEL),23 AUG 1996
1000 Metres Short Track,2:30.94,Maria de Lurdes MUTOLA,27 OCT 1972,MOZ,Stockholm (SWE) (i),25 FEB 1999
1500 Metres,3:49.11,Faith KIPYEGON,10 JAN 1994,KEN,"Stadio Luigi Ridolfi, Firenze (ITA)",02 JUN 2023
1500 Metres Short Track,3:53.09,Gudaf TSEGAY,23 JAN 1997,ETH,"Arena Stade Couvert, Liévin (FRA) (i)",09 FEB 2021
Mile,4:07.64,Faith KIPYEGON,10 JAN 1994,KEN,"Stade Louis II, Monaco (MON)",21 JUL 2023
